Data;a_vista_real;a_vista_dolar
16/01/2018;60,38;18,7
17/01/2018;58,95;18,34
18/01/2018;58,46;18,21
19/01/2018;58,32;18,23
22/01/2018;58,37;18,2
23/01/2018;57,52;17,74
24/01/2018;56,57;17,81
25/01/2018;56,9;18,13
26/01/2018;56,36;17,91
29/01/2018;55,75;17,61
30/01/2018;56,18;17,68
31/01/2018;55,43;17,39
01/02/2018;55,25;17,43
02/02/2018;54,88;17,09
05/02/2018;54,71;16,86
06/02/2018;54,01;16,67
07/02/2018;54,03;16,48
08/02/2018;54,17;16,5
09/02/2018;54,39;16,44
14/02/2018;54,53;16,88
15/02/2018;53,09;16,4
16/02/2018;53,29;16,56
19/02/2018;53,01;16,39
20/02/2018;52,98;16,29
21/02/2018;52,27;16,08
22/02/2018;52,13;16,06
23/02/2018;51,72;15,96
26/02/2018;51,59;15,94
27/02/2018;50,76;15,63
28/02/2018;51,35;15,86
01/03/2018;51,22;15,73
02/03/2018;50,8;15,63
05/03/2018;51,44;15,84
06/03/2018;51,01;15,9
07/03/2018;51,43;15,85
08/03/2018;51,48;15,77
09/03/2018;51,18;15,75
12/03/2018;50,73;15,59
13/03/2018;51,17;15,68
14/03/2018;50,96;15,61
15/03/2018;50,34;15,3
16/03/2018;50,01;15,28
19/03/2018;50,71;15,43
20/03/2018;50,45;15,25
21/03/2018;50,55;15,45
22/03/2018;51,35;15,55
23/03/2018;51,71;15,6
26/03/2018;52,3;15,83
27/03/2018;52,33;15,71
28/03/2018;53,12;15,95
29/03/2018;53,4;16,18
02/04/2018;53,48;16,12
03/04/2018;53,52;16,04
04/04/2018;53,89;16,15
05/04/2018;54,08;16,18
06/04/2018;54,16;16,07
09/04/2018;54,45;16,01
10/04/2018;54,97;16,14
11/04/2018;55,06;16,29
12/04/2018;55,27;16,25
13/04/2018;54,81;16,01
16/04/2018;55,07;16,09
17/04/2018;55,27;16,24
18/04/2018;55,17;16,33
19/04/2018;55,43;16,36
20/04/2018;55,84;16,36
23/04/2018;55,98;16,24
24/04/2018;55,8;16,09
25/04/2018;55,46;15,9
26/04/2018;54,95;15,79
27/04/2018;54,87;15,85
30/04/2018;55,11;15,72
02/05/2018;55,43;15,62
03/05/2018;55,34;15,69
04/05/2018;55,51;15,76
07/05/2018;55,69;15,67
08/05/2018;55,22;15,46
09/05/2018;54,96;15,25
10/05/2018;53,79;15,17
11/05/2018;53,56;14,86
14/05/2018;52,68;14,53
15/05/2018;53,15;14,51
16/05/2018;53,07;14,43
17/05/2018;53,77;14,51
18/05/2018;53,61;14,32
21/05/2018;53,01;14,38
22/05/2018;52,85;14,52
23/05/2018;53,7;14,8
24/05/2018;54,4;14,92
25/05/2018;54,43;14,82
28/05/2018;54,43;14,82
29/05/2018;55,43;14,8
30/05/2018;55,73;14,9
01/06/2018;56,2;14,93
04/06/2018;57,33;15,33
05/06/2018;57,01;14,96
06/06/2018;56,48;14,79
07/06/2018;57,04;14,55
08/06/2018;57,48;15,46
11/06/2018;58,44;15,71
12/06/2018;57,68;15,52
